Date,Close,Open,High,Low,Volume,Ticker,Sector
2022-03-29,10.05,10.25,10.2,10.05,30300000.0,ACCESSCORP,banking
2022-03-30,10.0,10.05,10.1,9.9,29470000.0,ACCESSCORP,banking
2022-03-31,9.75,10.0,9.9,9.75,15230000.0,ACCESSCORP,banking
2022-04-01,9.7,9.75,9.75,9.6,13750000.0,ACCESSCORP,banking
2022-04-04,9.6,9.7,9.75,9.6,11960000.0,ACCESSCORP,banking
2022-04-05,9.75,9.6,9.8,9.6,14480000.0,ACCESSCORP,banking
2022-04-06,9.75,9.75,9.8,9.75,15260000.0,ACCESSCORP,banking
2022-04-07,9.7,9.75,9.8,9.7,12910000.0,ACCESSCORP,banking
2022-04-08,9.8,9.7,9.9,9.75,7800000.0,ACCESSCORP,banking
2022-04-11,10.0,9.8,10.2,9.8,12380000.0,ACCESSCORP,banking
2022-04-12,10.4,10.0,10.45,10.15,6850000.0,ACCESSCORP,banking
2022-04-13,10.35,10.4,10.4,10.3,14780000.0,ACCESSCORP,banking
2022-04-14,10.25,10.35,10.3,10.2,33870000.0,ACCESSCORP,banking
2022-04-19,10.35,10.25,10.35,10.2,23960000.0,ACCESSCORP,banking
2022-04-20,9.6,9.65,9.7,9.5,6610000.0,ACCESSCORP,banking
2022-04-21,9.6,9.6,9.7,9.6,7350000.0,ACCESSCORP,banking
2022-04-22,10.0,9.6,10.05,9.6,21660000.0,ACCESSCORP,banking
2022-04-25,9.9,10.0,10.1,9.9,3650000.0,ACCESSCORP,banking
2022-04-26,9.9,9.9,10.0,9.9,5220000.0,ACCESSCORP,banking
2022-04-27,9.85,9.9,10.0,9.85,6920000.0,ACCESSCORP,banking
2022-04-28,9.9,10.0,10.0,9.85,10960000.0,ACCESSCORP,banking
2022-04-29,9.7,9.9,9.85,9.65,15490000.0,ACCESSCORP,banking
2022-05-04,9.6,9.7,9.7,9.6,23800000.0,ACCESSCORP,banking
2022-05-05,9.65,9.6,9.7,9.65,17180000.0,ACCESSCORP,banking
2022-05-06,9.6,9.65,9.7,9.6,13660000.0,ACCESSCORP,banking
2022-05-09,9.55,9.6,9.65,9.55,19350000.0,ACCESSCORP,banking
2022-05-10,9.55,9.55,9.6,9.55,7940000.0,ACCESSCORP,banking
2022-05-11,9.55,9.55,9.65,9.55,11700000.0,ACCESSCORP,banking
2022-05-12,9.6,9.55,9.7,9.55,17020000.0,ACCESSCORP,banking
2022-05-13,9.65,9.6,9.7,9.6,9720000.0,ACCESSCORP,banking
2022-05-16,9.7,9.65,9.7,9.6,28750000.0,ACCESSCORP,banking
2022-05-17,9.8,9.7,9.8,9.7,3890000.0,ACCESSCORP,banking
2022-05-18,9.7,9.8,9.9,9.7,13790000.0,ACCESSCORP,banking
2022-05-19,9.9,9.7,9.9,9.55,11920000.0,ACCESSCORP,banking
2022-05-20,9.85,9.9,9.9,9.85,6880000.0,ACCESSCORP,banking
2022-05-23,9.95,9.85,9.95,9.8,11660000.0,ACCESSCORP,banking
2022-05-24,9.95,9.95,10.05,9.95,60520000.0,ACCESSCORP,banking
2022-05-25,9.7,9.95,9.9,9.6,30690000.0,ACCESSCORP,banking
2022-05-26,9.8,9.85,9.9,9.7,25320000.0,ACCESSCORP,banking
2022-05-27,9.85,9.8,9.9,9.65,12460000.0,ACCESSCORP,banking
2022-05-30,10.0,9.85,10.05,9.9,21250000.0,ACCESSCORP,banking
2022-05-31,10.0,10.0,10.0,9.9,14120000.0,ACCESSCORP,banking
2022-06-01,9.9,10.0,9.95,9.9,2850000.0,ACCESSCORP,banking
2022-06-02,9.9,9.9,9.95,9.85,11690000.0,ACCESSCORP,banking
2022-06-03,9.95,9.9,10.0,9.9,6220000.0,ACCESSCORP,banking
2022-06-06,9.95,9.95,10.0,9.9,5460000.0,ACCESSCORP,banking
2022-06-07,9.95,9.95,9.95,9.9,10510000.0,ACCESSCORP,banking
2022-06-08,9.8,9.95,9.9,9.8,6130000.0,ACCESSCORP,banking
